0,1
0,292
0,2
0,264
0,76
1,1000
0,7
0,10
0,100
1,1000
1,1000
1,1000
0,684
1,1000
0,23
0,264
0,124
1,1000
1,1000
0,59
0,413
0,48
1,1000
0,1
0,306
0,2
1,1000
0,172
1,1000
0,1
0,72
0,208
1,1000
0,1
0,220
1,1000
0,32
0,1
1,1000
1,1000
1,1000
0,1
0,1
1,1000
1,1000
0,2
0,66
0,247
0,47
0,665
1,1000
0,6
1,1000
0,72
0,47
0,200
0,1
1,1000
1,1000
1,1000
0,80
0,1
0,5
1,1000
0,1
1,1000
0,322
0,1
1,1000
0,4
0,12
1,1000
0,194
1,1000
0,18
1,1000
0,78
0,1
1,1000
1,1000
1,1000
0,1
1,1000
1,1000
0,916
0,9
1,1000
1,1000
1,1000
0,49
1,1000
1,1000
1,1000
0,131
0,1
0,5
0,115
1,1000
1,1000
1,1000
1,1000
1,1000
0,109
0,988
1,1000
1,1000
1,1000
0,237
0,252
0,1
0,4
1,1000
0,1
1,1000
1,1000
0,9
0,208
0,1
0,26
0,413
0,34
1,1000
0,289
0,5
0,1
1,1000
0,3
1,1000
0,3
0,69
0,37
0,26
0,53
0,53
1,1000
0,126
1,1000
0,1
1,1000
0,26
1,1000
1,1000
1,1000
0,83
0,8
1,1000
1,1000
1,1000
0,14
0,774
0,15
0,1
0,27
0,14
0,819
1,1000
0,1
0,12
1,1000
0,1
0,46
0,32
0,1
1,1000
0,3
0,1
0,2
0,3
1,1000
0,1
1,1000
1,1000
1,1000
0,309
0,154
1,1000
0,13
0,102
1,1000
1,1000
1,1000
0,7
0,88
0,598
0,252
1,1000
0,267
0,4
0,1
1,1000
0,24
0,943
1,1000
0,193
0,543
1,1000
0,2
0,13
1,1000
0,307
